Price,Close,High,Low,Open,Volume,50_DMA,200_DMA,12_EMA,26_EMA,MACD,Signal,RSI
Ticker,META,META,META,META,META,,,,,,,
Date,,,,,,,,,,,,
2024-07-30,461.964599609375,471.4793693679955,455.49177911608064,465.7645175423859,11390400,489.98525390625,,474.2502067240382,484.54214821633013,-10.291941492291926,-6.232605084396441,26.08697431934138
2024-07-31,473.57379150390625,475.2393867973792,465.515181086415,469.7738735533383,24285800,490.05283630371093,,474.1461428440179,483.72967734874317,-9.583534504725264,-6.902790968462207,36.392386761822976
2024-08-01,496.42315673828125,525.7752886817411,490.79809389196134,519.621629234288,43083100,490.6385827636719,,477.5733757508276,484.66993508130156,-7.096559330473951,-6.941544640864556,49.61883431213682
2024-08-02,486.8486022949219,499.82416263155864,474.89030207489265,487.70631248838725,24044700,491.1167321777344,,479.00033368068824,484.83131783786604,-5.830984157177795,-6.719432544127204,47.41491457874833
2024-08-05,474.471435546875,482.20093240553325,449.60736639083,450.1559295912915,21396200,491.28456726074216,,478.30358012164004,484.06391914964445,-5.76033902800441,-6.527613840902645,45.63787671691932
2024-08-06,492.7828063964844,501.2303989457279,477.3836528207429,477.7327329300847,20955000,491.8584838867188,,480.531153394693,484.7097626494103,-4.178609254717344,-6.057812923665585,60.57870637406714
2024-08-07,487.62652587890625,508.80034027827065,485.57194781622036,501.79892335846426,20105300,492.08137939453127,,481.622749161495,484.9258191849285,-3.30307002343352,-5.506864343619172,54.56898113790408
2024-08-08,508.2817077636719,508.610821310526,493.4111505917444,496.1837944972908,16156800,492.6835015869141,,485.7241274079837,486.6558850055762,-0.9317575975924797,-4.591842994413834,60.08599929066937
2024-08-09,516.4002075195312,516.9687068327605,504.3621325984849,506.36679424679943,13696600,493.5587902832031,,490.4435243482218,488.85916815475804,1.5843561934637478,-3.3566031568383177,59.47111610791961
2024-08-12,514.5849609375,516.6494916340242,507.7530779259636,515.4925265619871,9767400,494.54344299316404,,494.157591515803,490.76478243496115,3.3928090808418574,-2.006720709302283,58.47319944357271
2024-08-13,527.1416625976562,530.0938534798205,516.7791968434872,518.634261382388,13743800,495.78361328125,,499.2320639899343,493.45936615071633,5.772697839217983,-0.45083699959823,73.03296883820163
2024-08-14,525.366455078125,532.5872917660244,521.7460534495959,526.663003726039,11444200,496.7758551025391,,503.25273954196365,495.8228542194133,7.429885322550376,1.1253074648314914,76.20585070167928
2024-08-15,535.908447265625,538.3419943932922,525.3065653122825,530.3830650287364,13482100,497.98890014648435,,508.2766945763731,498.7921574080215,9.484537168351551,2.7971534055355036,75.90976746574675
2024-08-16,526.0245971679688,532.2480783702886,523.2718895114789,530.4927859051207,14776700,498.64418212890627,,511.00714112892626,500.80937516801765,10.197765960908612,4.277275916610125,70.82968744964963
2024-08-19,527.8797607421875,530.2534081865273,521.3769906400114,525.4761025731007,9879700,499.36247192382814,,513.6029287617357,502.81458891425245,10.788339847483257,5.579488702784752,72.40796263520565
2024-08-20,525.33642578125,529.6849369159322,524.4886989518025,526.9521349229415,7944400,500.04583740234375,,515.4080821493533,504.4828731266226,10.925209022730655,6.6486327667739324,68.75268660280733
2024-08-21,533.744140625,537.9729743095602,525.5359335970294,525.7553832138777,13423300,500.7052575683594,,518.2290142225297,506.6503744227987,11.578639799731036,7.634634173365354,65.10087384817209
2024-08-22,530.5227661132812,542.7902141551943,527.1916362087563,535.5793606781577,15708300,501.2032043457031,,520.1203606672607,508.4186997332048,11.701660934055894,8.448039525503463,68.62928872035792
